Variable,vName,vclass,vtype,vDiscription
201,Andrgerab,sppB,BM,Aboveground biomass (g/m2) of Andropogon gerardi
202,Anemcylib,sppB,BM,Aboveground biomass (g/m2) of Anemone cylindrica
203,Arabisspb,sppB,BM,Aboveground biomass (g/m2) of Arabis sp.
204,Arenlateb,sppB,BM,Aboveground biomass (g/m2) of Arenaria lateriflora
205,Arisbasib,sppB,BM,Aboveground biomass (g/m2) of Aristida basiramea
206,Aristispb,sppB,BM,Aboveground biomass (g/m2) of Aristida sp.
207,Ascltubeb,sppB,BM,Aboveground biomass (g/m2) of Asclepias tuberosa
208,Asteazurb,sppB,BM,Aboveground biomass (g/m2) of Aster azureus
209,Astrcanab,sppB,BM,Aboveground biomass (g/m2) of Astragalus canadensis
210,Bertincab,sppB,BM,Aboveground biomass (g/m2) of Berteroa incana
211,Boutgracb,sppB,BM,Aboveground biomass (g/m2) of Bouteloua gracilis
212,Brominerb,sppB,BM,Aboveground biomass (g/m2) of Bromus inermis
213,Buchdactb,sppB,BM,Aboveground biomass (g/m2) of Buchloe dactyloides
214,Carexspb,sppB,BM,Aboveground biomass (g/m2) of Carex sp.
215,Chenalbub,sppB,BM,Aboveground biomass (g/m2) of Chenopodium album
216,Chenleptb,sppB,BM,Aboveground biomass (g/m2) of Chenopodium leptophyllum
217,Corepalmb,sppB,BM,Aboveground biomass (g/m2) of Coreopsis palmata
218,Cypefilib,sppB,BM,Aboveground biomass (g/m2) of Cyperus filiculmis
219,Cyperuspb,sppB,BM,Aboveground biomass (g/m2) of Cyperus sp.
220,Cypeschwb,sppB,BM,Aboveground biomass (g/m2) of Cyperus schweinitzii
221,Digiischb,sppB,BM,Aboveground biomass (g/m2) of Digitaria ischaemum
222,Digisangb,sppB,BM,Aboveground biomass (g/m2) of Digitaria sanguinalis
223,Digitaspb,sppB,BM,Aboveground biomass (g/m2) of Digitaria sp.
224,Elymcanab,sppB,BM,Aboveground biomass (g/m2) of Elymus canadensis
225,Eragspecb,sppB,BM,Aboveground biomass (g/m2) of Eragrostis spectabilis
226,Erigcanab,sppB,BM,Aboveground biomass (g/m2) of Erigeron canadensis
227,Erigerspb,sppB,BM,Aboveground biomass (g/m2) of Erigeron sp.
228,Erigstrib,sppB,BM,Aboveground biomass (g/m2) of Erigeron strigosus
229,Euphcorob,sppB,BM,Aboveground biomass (g/m2) of Euphorbia corollata
230,Euphglypb,sppB,BM,Aboveground biomass (g/m2) of Euphorbia glyptosperma
231,Festucspb,sppB,BM,Aboveground biomass (g/m2) of Festuca sp.
232,Hedehispb,sppB,BM,Aboveground biomass (g/m2) of Hedeoma hispida
233,Koelcrisb,sppB,BM,Aboveground biomass (g/m2) of Koeleria cristata
234,Lepidensb,sppB,BM,Aboveground biomass (g/m2) of Lepidium densiflorum
235,Lepidispb,sppB,BM,Aboveground biomass (g/m2) of Lepidium sp.
236,Lespcapib,sppB,BM,Aboveground biomass (g/m2) of Lespedeza capitata
237,Liataspeb,sppB,BM,Aboveground biomass (g/m2) of Liatris aspera
238,Lupipereb,sppB,BM,Aboveground biomass (g/m2) of Lupinus perennis
239,Lychalbab,sppB,BM,Aboveground biomass (g/m2) of Lychnis alba
240,Medisatib,sppB,BM,Aboveground biomass (g/m2) of Medicago sativa
241,Miscgrasb,sppB,BM,Aboveground biomass (g/m2) of Miscellaneous grasses
242,Mischerbb,sppB,BM,Aboveground biomass (g/m2) of Miscellaneous herbs
243,Misclittb,sppB,BM,Aboveground biomass (g/m2) of Miscellaneous litter
244,Mollvertb,sppB,BM,Aboveground biomass (g/m2) of Mollugo verticillata
245,Monafistb,sppB,BM,Aboveground biomass (g/m2) of Monarda fistulosa
246,Mosslichb,sppB,BM,Aboveground biomass (g/m2) of Mosses & lichens
247,Oenobienb,sppB,BM,Aboveground biomass (g/m2) of Oenothera biennis
248,Panioligb,sppB,BM,Aboveground biomass (g/m2) of Panicum oligosanthes
249,Panivirgb,sppB,BM,Aboveground biomass (g/m2) of Panicum virgatum
250,Petapurpb,sppB,BM,Aboveground biomass (g/m2) of Petalostemum purpureum
251,Physvirgb,sppB,BM,Aboveground biomass (g/m2) of Physalis virginiana
252,Poaprateb,sppB,BM,Aboveground biomass (g/m2) of Poa pratensis
253,Polyconvb,sppB,BM,Aboveground biomass (g/m2) of Polygonum convolvulus
254,Polypolyb,sppB,BM,Aboveground biomass (g/m2) of Polygala polygama
